"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"286","@jjpower27 Absolutely! You've got to learn in context. #LTHEchat",FALSE,0,"jjpower27",2017-04-05 19:51:56,FALSE,"849699429795995650","849711218529009666","31363730","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wonnydon",0,FALSE,FALSE,NA,NA
"287","@LTHEchat A5 #LTHEchat Loaded question. If not, why not?",FALSE,0,"LTHEchat",2017-04-05 19:51:52,FALSE,"849708267018346496","849711201869332480","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheOtherDrX",0,FALSE,FALSE,NA,NA
"288","@alacre I'd say yes if self-directed learning or small collab groups = student choice. If tutor led new spaces need exploring #LTHEchat",FALSE,0,"alacre",2017-04-05 19:51:45,FALSE,"849709467675570176","849711174417514502","17087119","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suebecks",0,FALSE,FALSE,NA,NA
"289","Always liked this Flickr collection of learning spaces https://t.co/DsYQyTbUqf #lthechat",FALSE,4,NA,2017-04-05 19:51:45,FALSE,NA,"849711172890882048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jamesclay",0,FALSE,FALSE,NA,NA
"290","@alacre A5 Digital spaces inspirational/flexible but limited by only exposed through a 16:9 rectangle? VR spaces a… https://t.co/UYohsnRVtG",FALSE,0,"alacre",2017-04-05 19:51:40,TRUE,"849709467675570176","849711154989498368","17087119","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattcornock",0,FALSE,FALSE,NA,NA
"291","@LTHEchat A6 the cynical response? One purely defined by metrics that look good in league tables and surveys and can be marketed  #LTHEchat",FALSE,0,"LTHEchat",2017-04-05 19:51:38,FALSE,"849711014979538944","849711144558374913","2659221798","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kjhaxton",0,FALSE,FALSE,NA,NA
"292","@LTHEchat A5 Very much so. Portability. Borderlessness. Connectedness. (Mostly) openness. Pace. Transcendence of re… https://t.co/Ak2rY1pzjS",FALSE,0,"LTHEchat",2017-04-05 19:51:34,TRUE,"849708267018346496","849711129890885634","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dompates",0,FALSE,FALSE,NA,NA
"293","@alacre @profpeterbrad Yes - put library has been transformed on some floors to open relaxed learning space @TeesUniLib #LTHEchat",FALSE,1,"alacre",2017-04-05 19:51:26,FALSE,"849710699244924930","849711096118247426","17087119","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrMarjWilson",0,FALSE,FALSE,NA,NA
"294","RT @LTHEchat: Q6 What characteristics will future university learning space have? #LTHEchat https://t.co/RPcxFJmHy7",FALSE,0,NA,2017-04-05 19:51:26,FALSE,NA,"849711094990069760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sultec4",4,TRUE,FALSE,NA,NA
"295","RT @LTHEchat: Q6 What characteristics will future university learning space have? #LTHEchat https://t.co/RPcxFJmHy7",FALSE,0,NA,2017-04-05 19:51:26,FALSE,NA,"849711094918770691",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cpjobling",4,TRUE,FALSE,NA,NA
"296","@drrwgrant @chrissinerantzi And an hour of it is exhausting - we all need a lie down after #LTHEchat",FALSE,1,"drrwgrant",2017-04-05 19:51:14,FALSE,"849710861770006528","849711046168383489","1017429000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","srowett",0,FALSE,FALSE,NA,NA
"297","Q6 What characteristics will future university learning space have? #LTHEchat https://t.co/RPcxFJmHy7",FALSE,3,NA,2017-04-05 19:51:07,FALSE,NA,"849711014979538944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LTHEchat",4,FALSE,FALSE,NA,NA
"298","@srowett @mattcornock @sallyburruk Yeah I know. But even pre-web we (almost) needed libraries, lectures, learned societies. #lthechat",FALSE,2,"srowett",2017-04-05 19:51:02,FALSE,"849710343760879616","849710992800010240","351707332","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mberry",0,FALSE,FALSE,NA,NA
"299","How do we create the digital equivalents of cafes, parks, canteens where a lot of spontaneous learning happens? #lthechat",FALSE,3,NA,2017-04-05 19:50:56,FALSE,NA,"849710967873298432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","alacre",2,FALSE,FALSE,NA,NA
"300","@LTHEchat A4 #LTHEchat teaching space important to me as soon rooms don't suit my teaching style. Need acres of whiteboard.",FALSE,1,"LTHEchat",2017-04-05 19:50:52,FALSE,"849705599638155264","849710953193234436","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheOtherDrX",0,FALSE,FALSE,NA,NA
"301","@DrMarjWilson @andrewmid @LinkedIn @facebook You've found your niche in liminal space. #LTHEchat",FALSE,1,"DrMarjWilson",2017-04-05 19:50:51,FALSE,"849710696069771267","849710949321801730","1961267611","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","S_J_Lancaster",0,FALSE,FALSE,NA,NA
"302","@srowett @nlafferty @digisim Yes - our TEL team have an open door policy, anyone can drop in. Not many do, but they usually return #LTHEchat",FALSE,3,"srowett",2017-04-05 19:50:51,FALSE,"849705631644876801","849710949040873472","351707332","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","moodlepete",1,FALSE,FALSE,NA,NA
"303","@chrissinerantzi Well, semi-structured - yes a series of 6 linked questions but then very complicated interaction p… https://t.co/O4x8r1qLPh",FALSE,0,"chrissinerantzi",2017-04-05 19:50:30,TRUE,"849709646671728640","849710861770006528","34362372","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","drrwgrant",0,FALSE,FALSE,NA,NA
"304","@MartinRich106 Who identifies Martin? Perhaps idea of self-determined learning where learner has cntrl of negotiati… https://t.co/pbYP5B8IM1",FALSE,1,"MartinRich106",2017-04-05 19:50:22,TRUE,"849709953837301760","849710824860127232","728575226708119553","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewmid",0,FALSE,FALSE,NA,NA
"305","RT @alacre: A5 Physical learning spaces are becoming very inspirational &amp; flexible. Can digital spaces match this flexibility? #LTHEchat",FALSE,0,NA,2017-04-05 19:50:18,FALSE,NA,"849710807869009920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattcornock",1,TRUE,FALSE,NA,NA
"306","RT @dave_thesmith: @willhaywood @dave_thesmith Well you did ask for the board https://t.co/run8YI87R6 #lthechat",FALSE,0,NA,2017-04-05 19:50:11,FALSE,NA,"849710781595865088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CharHarAgain",1,TRUE,FALSE,NA,NA
"307","A4. It's very relevant. Question is.. How much influence can they have on it? What do you say @KiuSum?<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#LTHEchat https://t.co/Ol7NDBuJXS",FALSE,0,NA,2017-04-05 19:49:58,FALSE,NA,"849710725543145472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","begumru",0,FALSE,FALSE,NA,NA
"308","@chrissinerantzi @S_J_Lancaster @andrewmid @LinkedIn @facebook Yes, perhaps my best learning space is something lik… https://t.co/60ZNyCwZPU",FALSE,0,"chrissinerantzi",2017-04-05 19:49:54,TRUE,"849710068731957248","849710708933758976","34362372","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","srowett",0,FALSE,FALSE,NA,NA
"309","@profpeterbrad Seen some traditional spaces transformed into really creative and flexible spaces where students mee… https://t.co/k0Rj1ULkIK",FALSE,1,"profpeterbrad",2017-04-05 19:49:52,TRUE,"849709824057147392","849710699244924930","14189943","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","alacre",0,FALSE,FALSE,NA,NA
"310","@S_J_Lancaster @andrewmid @LinkedIn @facebook Jeez! I must just be like jam in a breadless sandwich then - can't ge… https://t.co/ptFIFDICXr",FALSE,1,"S_J_Lancaster",2017-04-05 19:49:51,TRUE,"849709290344648705","849710696069771267","240186025","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrMarjWilson",0,FALSE,FALSE,NA,NA
"311","@srowett @mberry @mattcornock Possibly slowly became true as learning providers moved to VLEs and video content for… https://t.co/mHAgFG0t4F",FALSE,1,"srowett",2017-04-05 19:49:42,TRUE,"849710343760879616","849710659411562497","351707332","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sallyburruk",0,FALSE,FALSE,NA,NA
"312","A5 any potential of social media is limited by its lack of ubiquity - we are the minority #LTHEchat",FALSE,0,NA,2017-04-05 19:49:40,FALSE,NA,"849710651782168577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suewatling",0,FALSE,FALSE,NA,NA
"313","@alacre I think they are converging to a point - many physical spaces now designed to facilitate use of digital #LTHEchat",FALSE,1,"alacre",2017-04-05 19:49:29,FALSE,"849710284486975490","849710602150957057","17087119","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kjhaxton",0,FALSE,FALSE,NA,NA
"314","@willhaywood @dave_thesmith Well you did ask for the board https://t.co/run8YI87R6 #lthechat",FALSE,2,"willhaywood",2017-04-05 19:49:23,FALSE,"849710286768660480","849710577635274752","15335826","<a href=""http://www.tchat.io"" rel=""nofollow"">tchat.io</a>","dave_thesmith",1,FALSE,FALSE,NA,NA
"315","@LTHEchat A5 also allows you to network / engage with a wider group. Not tied by time / place #LTHEchat",FALSE,2,"LTHEchat",2017-04-05 19:49:22,FALSE,"849708267018346496","849710575093510146","2659221798","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","emmfletcher",0,FALSE,FALSE,NA,NA
"316","RT @DrMarjWilson: @LTHEchat A5 @TeesStudentPara is a great example of a student role modelling positive use of #SOME #LTHEchat @TeesParamed…",FALSE,0,NA,2017-04-05 19:49:22,FALSE,NA,"849710573222756354",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeesParamedic",3,TRUE,FALSE,NA,NA
"317","A judicious RT helps too! #LTHEchat https://t.co/WETm09drjH",FALSE,4,NA,2017-04-05 19:49:21,FALSE,NA,"849710568353214465",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","S_J_Lancaster",0,FALSE,FALSE,NA,NA
"318","@suebecks Same for me, particularly for learning from others in different disciplines, sectors and professions, lis… https://t.co/uKfSjcWTPl",FALSE,2,"suebecks",2017-04-05 19:49:21,TRUE,"849710134037274625","849710568349028352","34904126","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nlafferty",0,FALSE,FALSE,NA,NA
"319","RT @DrMarjWilson: @LTHEchat A5 Short answer Yes - I see students who use Twitter growing in confidence with calibre of tweets 1/2 #LTHEchat",FALSE,0,NA,2017-04-05 19:49:03,FALSE,NA,"849710494780882944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","S_J_Lancaster",1,TRUE,FALSE,NA,NA
"320","@srowett @andrewmid @LinkedIn @facebook OK, I guess I define them by what I do with them. Our relationship with any… https://t.co/RSytobLvaZ",FALSE,0,"srowett",2017-04-05 19:48:40,TRUE,"849710079146328064","849710399675146240","351707332","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","S_J_Lancaster",0,FALSE,FALSE,NA,NA
"321","@mberry Oh yes, it's defintely possible to learn without the net. However, a lot of learning content is reliant on… https://t.co/T4889xp9LK",FALSE,0,"mberry",2017-04-05 19:48:38,TRUE,"849709477410603008","849710390980337664","8496052","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sallyburruk",0,FALSE,FALSE,NA,NA
"322","A5 Self-organisation, rewards leadership as focii valued but no lasting rents. Danger of echo-chamber subgroups forming #LTHEchat",FALSE,0,NA,2017-04-05 19:48:29,FALSE,NA,"849710353533595650",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","drrwgrant",0,FALSE,FALSE,NA,NA
"323","@mberry @mattcornock @sallyburruk If this access point is true, it presumably wasn't true in the past, so when did it become true? #LTHEchat",FALSE,1,"mberry",2017-04-05 19:48:27,FALSE,"849708264220762116","849710343760879616","8496052","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","srowett",0,FALSE,FALSE,NA,NA
"324","@dave_thesmith Link?! #lthechat",FALSE,1,"dave_thesmith",2017-04-05 19:48:13,FALSE,"849709916793298945","849710286768660480","19645540","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","willhaywood",0,FALSE,FALSE,NA,NA
"325","@kjhaxton I'm not so sure now. Maybe the other way round actually. #LTHEchat",FALSE,1,"kjhaxton",2017-04-05 19:48:13,FALSE,"849709912833871873","849710284486975490","34229633","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","alacre",0,FALSE,FALSE,NA,NA
"326","RT @S_J_Lancaster: A5 Yes, and bringing us back to A1 it's qualities are the people. #LTHEchat",FALSE,0,NA,2017-04-05 19:48:03,FALSE,NA,"849710241713401861",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","santanuvasant",2,TRUE,FALSE,NA,NA
"327","@LTHEchat A5: Yes. Good places to share ideas and start discussions and chats (like this one!) #LTHEchat",FALSE,1,"LTHEchat",2017-04-05 19:47:50,FALSE,"849708267018346496","849710189032984581","2659221798","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","emmfletcher",0,FALSE,FALSE,NA,NA
"328","@LTHEchat A5 The qualities are alllows interaction with professionals in field - there is maybe less hierarchy #LTHEchat",FALSE,2,"LTHEchat",2017-04-05 19:47:50,FALSE,"849708267018346496","849710188940713984","2659221798","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrMarjWilson",1,FALSE,FALSE,NA,NA
"329","How about self-determined learning? Does socmed help us to promote heutagogical engagement? #lthechat https://t.co/pIM8cr8YTm",FALSE,4,NA,2017-04-05 19:47:46,FALSE,NA,"849710172977197056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewmid",1,FALSE,FALSE,NA,NA
